2026-03-14 20:37:28,060 | INFO | __main__ | User 886635512 used /start
2026-03-14 20:37:28,125 | INFO | aiogram.event | Update id=702991435 is handled. Duration 65 ms by bot id=8207144654
2026-03-14 20:37:30,470 | INFO | __main__ | User 886635512 started adding a game
2026-03-14 20:37:30,595 | INFO | aiogram.event | Update id=702991436 is handled. Duration 124 ms by bot id=8207144654
2026-03-14 20:37:36,041 | INFO | __main__ | Game name received: CS2
2026-03-14 20:37:36,167 | INFO | aiogram.event | Update id=702991437 is handled. Duration 125 ms by bot id=8207144654
2026-03-14 20:37:48,102 | INFO | __main__ | Game genre received: Shooter
2026-03-14 20:37:48,158 | INFO | aiogram.event | Update id=702991438 is handled. Duration 56 ms by bot id=8207144654
2026-03-14 20:37:51,840 | INFO | __main__ | Release year received: 2023
2026-03-14 20:37:51,841 | INFO | data | Adding game for user 886635512: CS2
2026-03-14 20:37:51,841 | INFO | data | Reading all data from file
2026-03-14 20:37:51,841 | INFO | data | Data successfully loaded
2026-03-14 20:37:51,842 | INFO | data | Game 'CS2' successfully added for user 886635512
2026-03-14 20:37:51,842 | INFO | __main__ | Game added for user 886635512: CS2
2026-03-14 20:37:51,919 | INFO | aiogram.event | Update id=702991439 is handled. Duration 78 ms by bot id=8207144654
2026-03-14 20:37:55,003 | INFO | __main__ | User 886635512 started adding a game
2026-03-14 20:37:55,066 | INFO | aiogram.event | Update id=702991440 is handled. Duration 63 ms by bot id=8207144654
2026-03-14 20:38:02,427 | INFO | __main__ | Game name received: God of War
2026-03-14 20:38:02,485 | INFO | aiogram.event | Update id=702991441 is handled. Duration 58 ms by bot id=8207144654
2026-03-14 20:38:06,271 | INFO | __main__ | Game genre received: Action
2026-03-14 20:38:06,334 | INFO | aiogram.event | Update id=702991442 is handled. Duration 64 ms by bot id=8207144654
2026-03-14 20:38:08,434 | INFO | __main__ | Release year received: 2018
2026-03-14 20:38:08,434 | INFO | data | Adding game for user 886635512: God of War
2026-03-14 20:38:08,434 | INFO | data | Reading all data from file
2026-03-14 20:38:08,435 | INFO | data | Data successfully loaded
2026-03-14 20:38:08,437 | INFO | data | Game 'God of War' successfully added for user 886635512
2026-03-14 20:38:08,437 | INFO | __main__ | Game added for user 886635512: God of War
2026-03-14 20:38:08,558 | INFO | aiogram.event | Update id=702991443 is handled. Duration 124 ms by bot id=8207144654
2026-03-14 20:38:16,496 | INFO | __main__ | User 886635512 started adding a game
2026-03-14 20:38:16,621 | INFO | aiogram.event | Update id=702991444 is handled. Duration 125 ms by bot id=8207144654
2026-03-14 20:38:47,729 | INFO | __main__ | Game name received: Spider-Man Miles Morales
2026-03-14 20:38:47,790 | INFO | aiogram.event | Update id=702991445 is handled. Duration 61 ms by bot id=8207144654
2026-03-14 20:39:49,375 | INFO | __main__ | Game genre received: action-adventure
2026-03-14 20:39:49,445 | INFO | aiogram.event | Update id=702991446 is handled. Duration 69 ms by bot id=8207144654
2026-03-14 20:39:56,902 | INFO | __main__ | Release year received: 2022
2026-03-14 20:39:56,903 | INFO | data | Adding game for user 886635512: Spider-Man Miles Morales
2026-03-14 20:39:56,903 | INFO | data | Reading all data from file
2026-03-14 20:39:56,904 | INFO | data | Data successfully loaded
